Question,Query Classification Result JSON
What is the total number of AML fines imposed by the FCA?,"{""query_type"":""aggregation"",""intent"":""count"",""entities"":{""companies"":[],""regulators"":[""FCA""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""sum"",""fine_only"":true,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What is the total number of AML fines imposed by the FCA?"",""convex_filters"":{""regulatorName"":""FCA"",""field"":""AML""}}"
What is the total value of AML fines imposed by the FCA?,"{""query_type"":""aggregation"",""intent"":""sum"",""entities"":{""companies"":[],""regulators"":[""FCA""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""sum"",""fine_only"":true,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What is the total value of AML fines imposed by the FCA?"",""convex_filters"":{""regulatorName"":""FCA"",""field"":""AML""}}"
What is the most common violation type that FCA have taken enforcement action against?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""FCA""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""max"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What is the most common violation type that FCA have taken enforcement action against?"",""convex_filters"":{""regulatorName"":""FCA""}}"
How many times has Barclays Bank been subject to enforcement action by the FCA?,"{""query_type"":""aggregation"",""intent"":""count"",""entities"":{""companies"":[""Barclays Bank""],""regulators"":[""FCA""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""count"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""How many times has Barclays Bank been subject to enforcement action by the FCA?"",""convex_filters"":{""regulatorName"":""FCA"",""subjectName"":""Barclays Bank""}}"
Which sector has FINCEN imposed sanctions against most often?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""FINCEN""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""max"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Which sector has FINCEN imposed sanctions against most often?"",""convex_filters"":{""regulatorName"":""FINCEN""}}"
What is the proportion of sanctions against casinos vs money services businesses by FINCEN?,"{""query_type"":""comparative_analysis"",""intent"":""compare"",""entities"":{""companies"":[],""regulators"":[""FINCEN""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[""Casinos"",""Money Services Business""],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":true,""semantic_depth"":""summary"",""confidence"":""medium"",""ambiguities"":[""Denominator for proportion is ambiguous: could mean proportion of all FINCEN enforcement actions, or proportion only among casino and money services business cases.""],""metric"":""proportion"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What is the proportion of sanctions against casinos vs money services businesses by FINCEN?"",""convex_filters"":{""regulatorName"":""FINCEN"",""sector"":[""Casinos"",""Money Services Business""]}}"
What is the most common violation type sanctioned by FINCEN?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""FINCEN""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""max"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What is the most common violation type sanctioned by FINCEN?"",""convex_filters"":{""regulatorName"":""FINCEN""}}"
What is the largest AML fine imposed by MAS?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""MAS""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""max"",""fine_only"":true,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""What is the largest AML fine imposed by MAS?"",""convex_filters"":{""regulatorName"":""MAS"",""field"":""AML""}}"
"How many AML sanctions has MAS imposed on average each year, over the last 7 years?","{""query_type"":""aggregation"",""intent"":""count"",""entities"":{""companies"":[],""regulators"":[""MAS""],""dates"":{""relative"":""last_7_years"",""start"":""2019-01-01"",""end"":""2025-12-31"",""group_by"":""year""},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""average"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""How many AML sanctions has MAS imposed on average each year, over the last 7 years?"",""convex_filters"":{""regulatorName"":""MAS"",""field"":""AML"",""dateOfAction_gte"":""2019-01-01"",""dateOfAction_lte"":""2025-12-31""}}"
Is there a trend of increasing or decreasing AML enforcement actions with MAS over time?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""MAS""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""trend"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Is there a trend of increasing or decreasing AML enforcement actions with MAS over time?"",""convex_filters"":{""regulatorName"":""MAS"",""field"":""AML""}}"
Which sector has AUSTRAC imposed the most AML sanctions on over time?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""AUSTRAC""],""dates"":{""time_granularity"":""year"",""scope"":""all_available_years""},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[""AML""]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""max"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Which sector has AUSTRAC imposed the most AML sanctions on over time?"",""convex_filters"":{""regulatorName"":""AUSTRAC"",""field"":""AML""}}"
"Of the sanctions imposed by AUSTRAC on the gambling sector, what can compliance officers learn from these cases?","{""query_type"":""grounded_summary"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""AUSTRAC""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[""Gambling""],""fields"":[]},""requires_aggregation"":false,""requires_semantic_search"":true,""semantic_depth"":""detailed"",""confidence"":""medium"",""ambiguities"":[""'Sanctions imposed' is interpreted as enforcement actions/cases, not as violation types or a fine-only filter."",""No specific enforcement action type is specified, so all AUSTRAC enforcement actions in the gambling sector are in scope.""],""metric"":null,""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Of the sanctions imposed by AUSTRAC on the gambling sector, what can compliance officers learn from these cases?"",""convex_filters"":{""regulatorName"":""AUSTRAC"",""sector"":""Gambling""}}"
"With FINTRAC, which sector receives the largest fines?","{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""FINTRAC""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""max"",""fine_only"":true,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""With FINTRAC, which sector receives the largest fines?"",""convex_filters"":{""regulatorName"":""FINTRAC""}}"
Which sector is most commonly sanctioned by FINTRAC?,"{""query_type"":""aggregation"",""intent"":""analyze"",""entities"":{""companies"":[],""regulators"":[""FINTRAC""],""dates"":{},""violation_types"":[],""jurisdictions"":[],""sectors"":[],""fields"":[]},""requires_aggregation"":true,""requires_semantic_search"":false,""semantic_depth"":""summary"",""confidence"":""high"",""ambiguities"":[],""metric"":""max"",""fine_only"":false,""non_fine_only"":false,""unsupported_reason"":null,""original_query"":""Which sector is most commonly sanctioned by FINTRAC?"",""convex_filters"":{""regulatorName"":""FINTRAC""}}"
